
start_station_name,end_station_name,subscriber_count,customer_count,total_count
Mechanics Plaza (Market at Battery),Harry Bridges Plaza (Ferry Building),482,220,702
Yerba Buena Center of the Arts (3rd @ Howard),5th at Howard,632,70,702
Townsend at 7th,Market at 4th,642,55,697
Mountain View Caltrain Station,Mountain View Caltrain Station,179,518,697
Yerba Buena Center of the Arts (3rd @ Howard),Townsend at 7th,629,68,697
San Jose Diridon Caltrain Station,Ryland Park,670,26,696
Civic Center BART (7th at Market),Temporary Transbay Terminal (Howard at Beale),673,17,690
Embarcadero at Sansome,Powell at Post (Union Square),113,576,689
Market at 4th,Townsend at 7th,620,65,685
Mechanics Plaza (Market at Battery),South Van Ness at Market,617,67,684
Spear at Folsom,Commercial at Montgomery,667,16,683
Powell at Post (Union Square),Townsend at 7th,609,72,681
2nd at South Park,Post at Kearny,643,35,678
Market at Sansome,Market at 4th,522,155,677
Market at Sansome,Townsend at 7th,634,41,675
Temporary Transbay Terminal (Howard at Beale),Mechanics Plaza (Market at Battery),651,17,668
Steuart at Market,Market at 4th,437,230,667
Commercial at Montgomery,San Francisco Caltrain 2 (330 Townsend),631,35,666
Powell Street BART,Steuart at Market,408,255,663
Market at Sansome,Yerba Buena Center of the Arts (3rd @ Howard),615,46,661
Post at Kearny,Washington at Kearny,577,81,658
Davis at Jackson,Commercial at Montgomery,641,13,654
Howard at 2nd,Market at 4th,611,43,654
Market at Sansome,South Van Ness at Market,569,80,649
5th at Howard,Market at 4th,580,67,647
Santa Clara County Civic Center,Ryland Park,640,7,647
San Jose Diridon Caltrain Station,San Jose Civic Center,515,126,641
5th at Howard,Market at 10th,539,102,641
Davis at Jackson,Temporary Transbay Terminal (Howard at Beale),623,17,640
San Francisco Caltrain 2 (330 Townsend),Clay at Battery,609,31,640
