
start_station_name,end_station_name,latitude,longitude,total_trips
Powell Street BART,Market at Sansome,37.783871,-122.408433,1072
Adobe on Almaden,San Jose Diridon Caltrain Station,37.331415,-121.8932,1059
Beale at Market,Embarcadero at Vallejo,37.792251,-122.397086,1057
Steuart at Market,2nd at South Park,37.794139,-122.394434,1055
San Francisco Caltrain 2 (330 Townsend),Market at 4th,37.7766,-122.39547,1052
Davis at Jackson,2nd at Townsend,37.79728,-122.398436,1046
Grant Avenue at Columbus Avenue,Commercial at Montgomery,37.7979,-122.405942,1045
Civic Center BART (7th at Market),San Francisco Caltrain 2 (330 Townsend),37.781039,-122.411748,1045
Broadway St at Battery St,San Francisco Caltrain 2 (330 Townsend),37.798541,-122.400862,1040
Clay at Battery,Temporary Transbay Terminal (Howard at Beale),37.795001,-122.39997,1035
Beale at Market,Commercial at Montgomery,37.792251,-122.397086,1029
Embarcadero at Bryant,2nd at Townsend,37.787152,-122.388013,1028
Powell at Post (Union Square),Embarcadero at Sansome,37.788446,-122.408499,1024
2nd at Townsend,Davis at Jackson,37.780526,-122.390288,1021
Paseo de San Antonio,San Jose Diridon Caltrain Station,37.333798,-121.886943,1017
Harry Bridges Plaza (Ferry Building),2nd at Folsom,37.795392,-122.394203,1015
Steuart at Market,Embarcadero at Folsom,37.794139,-122.394434,1013
Temporary Transbay Terminal (Howard at Beale),South Van Ness at Market,37.789756,-122.394643,1006
Howard at 2nd,Harry Bridges Plaza (Ferry Building),37.786978,-122.398108,1006
San Francisco Caltrain 2 (330 Townsend),Beale at Market,37.7766,-122.39547,1003
Howard at 2nd,Steuart at Market,37.786978,-122.398108,1003
Market at Sansome,Commercial at Montgomery,37.789625,-122.400811,1001
San Francisco Caltrain (Townsend at 4th),Civic Center BART (7th at Market),37.776617,-122.39526,1000
Market at Sansome,Davis at Jackson,37.789625,-122.400811,1000
Temporary Transbay Terminal (Howard at Beale),Market at 10th,37.789756,-122.394643,994
San Jose Diridon Caltrain Station,Japantown,37.329732,-121.901782,984
Golden Gate at Polk,San Francisco Caltrain 2 (330 Townsend),37.781332,-122.418603,984
Market at 4th,Steuart at Market,37.786305,-122.404966,981
San Jose Diridon Caltrain Station,Adobe on Almaden,37.329732,-121.901782,981
Harry Bridges Plaza (Ferry Building),Mechanics Plaza (Market at Battery),37.795392,-122.394203,974
Civic Center BART (7th at Market),San Francisco Caltrain (Townsend at 4th),37.781039,-122.411748,973
Townsend at 7th,Market at 10th,37.771058,-122.402717,973
Embarcadero at Bryant,San Francisco Caltrain 2 (330 Townsend),37.787152,-122.388013,970
Harry Bridges Plaza (Ferry Building),Powell Street BART,37.795392,-122.394203,957
Grant Avenue at Columbus Avenue,Clay at Battery,37.7979,-122.405942,953
Powell Street BART,Civic Center BART (7th at Market),37.783871,-122.408433,952
Temporary Transbay Terminal (Howard at Beale),Howard at 2nd,37.789756,-122.394643,948
Market at 4th,Market at 4th,37.786305,-122.404966,944
2nd at Folsom,2nd at South Park,37.785299,-122.396236,944
Embarcadero at Vallejo,Temporary Transbay Terminal (Howard at Beale),37.799953,-122.398525,940
Market at 4th,Civic Center BART (7th at Market),37.786305,-122.404966,932
Commercial at Montgomery,Davis at Jackson,37.794231,-122.402923,929
Steuart at Market,Howard at 2nd,37.794139,-122.394434,927
Harry Bridges Plaza (Ferry Building),Yerba Buena Center of the Arts (3rd @ Howard),37.795392,-122.394203,926
Market at 10th,Steuart at Market,37.776619,-122.417385,919
San Francisco Caltrain 2 (330 Townsend),Broadway St at Battery St,37.7766,-122.39547,913
Civic Center BART (7th at Market),Market at Sansome,37.781039,-122.411748,912
Steuart at Market,Steuart at Market,37.794139,-122.394434,911
Post at Kearny,San Francisco Caltrain 2 (330 Townsend),37.788975,-122.403452,908
Embarcadero at Vallejo,Embarcadero at Bryant,37.799953,-122.398525,906
Townsend at 7th,Powell Street BART,37.771058,-122.402717,902
Mechanics Plaza (Market at Battery),Powell Street BART,37.7913,-122.399051,899
Temporary Transbay Terminal (Howard at Beale),Harry Bridges Plaza (Ferry Building),37.789756,-122.394643,897
2nd at Townsend,2nd at Townsend,37.780526,-122.390288,895
Steuart at Market,Spear at Folsom,37.794139,-122.394434,895
San Francisco Caltrain 2 (330 Townsend),2nd at South Park,37.7766,-122.39547,895
